task_description,api_count,task_lower,soc_code,task_id,occupation_title
"answer clients' questions regarding construction work, financing, maintenance, repairs, and appraisals.",121.0,"answer clients' questions regarding construction work, financing, maintenance, repairs, and appraisals.",41-9022.00,2453.0,Real Estate Sales Agents
"answer customer inquiries or explain cost, availability, policies, and procedures of facilities.",33.0,"answer customer inquiries or explain cost, availability, policies, and procedures of facilities.",39-3093.00,4466.0,"Locker Room, Coatroom, and Dressing Room Attendants"
answer customers' questions about merchandise and advise customers on merchandise selection.,375.0,answer customers' questions about merchandise and advise customers on merchandise selection.,53-7065.00,23877.0,Stockers and Order Fillers
"answer customers' questions about products, prices, availability, or credit terms.",1397.0,"answer customers' questions about products, prices, availability, or credit terms.",41-4011.00,11237.0,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
"answer customers' questions about products, prices, availability, product uses, and credit terms.",652.0,"answer customers' questions about products, prices, availability, product uses, and credit terms.",41-4012.00,8113.0,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
"answer customers' questions, and explain available services such as deposit accounts, bonds, and securities.",43.0,"answer customers' questions, and explain available services such as deposit accounts, bonds, and securities.",,,
"answer customers' questions, and provide information on procedures or policies.",2241.0,"answer customers' questions, and provide information on procedures or policies.",41-2011.00,2408.0,Cashiers
"answer incoming calls, greeting callers, providing information, transferring calls or taking messages as necessary.",147.0,"answer incoming calls, greeting callers, providing information, transferring calls or taking messages as necessary.",43-2011.00,4631.0,"Switchboard Operators, Including Answering Service"
"answer inquiries concerning the progress of medical cases, within the limits of confidentiality laws.",54.0,"answer inquiries concerning the progress of medical cases, within the limits of confidentiality laws.",31-9094.00,9422.0,Medical Transcriptionists
"answer inquiries from current or prospective customers regarding methods, materials, or price ranges.",184.0,"answer inquiries from current or prospective customers regarding methods, materials, or price ranges.",37-1012.00,11223.0,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
answer inquiries from the public concerning animal control operations.,50.0,answer inquiries from the public concerning animal control operations.,33-9011.00,7970.0,Animal Control Workers
"answer inquiries pertaining to hotel policies and services, and resolve occupants' complaints.",125.0,"answer inquiries pertaining to hotel policies and services, and resolve occupants' complaints.",11-9081.00,1105.0,Lodging Managers
