anthropic_task_description,api_usage_count,onet_soc_code,onet_task_id,onet_task_description,onet_task_type,onet_occupation_title,onet_occupation_description,match_method,match_score,Job Zone,typical_education,typical_education_pct,task_importance,task_relevance,dwa_ids,dwa_titles,iwa_ids,nonroutine_cognitive_analytical,nonroutine_cognitive_interpersonal,nonroutine_manual,nonroutine_total
contact prospective customers to present information and explain available services.,2727.0,41-3031.00,23206.0,Contact prospective customers to present information and explain available services.,Core,"Securities, Commodities, and Financial Services Sales Agents","Buy and sell securities or commodities in investment and trading firms, or provide financial services to businesses and individuals. May advise customers about stocks, bonds, mutual funds, commodities, and market conditions.",exact,100.0,4,6.0,55.3,3.9,98.86,4.A.4.a.1.I01.D05; 4.A.4.a.6.I03.D05,Contact current or potential customers to promote products or services.; Explain technical product or service information to customers.,4.A.4.a.1.I01; 4.A.4.a.6.I03,0.5966257668711658,0.5484400656814452,0.1279373368146214,0.42130919220055735
"perform system analysis, data analysis or programming, using a variety of computer languages and procedures.",2603.0,15-1243.01,16123.0,"Perform system analysis, data analysis or programming, using a variety of computer languages and procedures.",Core,Data Warehousing Specialists,"Design, model, or implement corporate data warehousing activities. Program and configure warehouses of database information and provide support to warehouse users.",exact,100.0,4,6.0,78.26,3.83,100.0,4.A.2.a.4.I04.D02; 4.A.2.b.2.I02.D10; 4.A.3.b.1.I01.D03,Analyze data to identify trends or relationships among variables.; Design software applications.; Write computer programming code.,4.A.2.a.4.I04; 4.A.2.b.2.I02; 4.A.3.b.1.I01,0.8174846625766872,0.4105090311986864,0.11488250652741512,0.45612813370473565
use computer software to generate new images.,2592.0,27-1024.00,301.0,Use computer software to generate new images.,Core,Graphic Designers,"Design or create graphics to meet specific commercial or promotional needs, such as packaging, displays, or logos. May use a variety of mediums to achieve artistic or decorative effects.",exact,100.0,4,6.0,65.0,4.47,100.0,4.A.2.b.2.I18.D17,Create computer-generated graphics or animation.,4.A.2.b.2.I18,0.6702453987730064,0.6157635467980297,0.3550913838120104,0.604456824512535
"reformat documents, moving paragraphs or columns.",2544.0,43-9022.00,800.0,"Reformat documents, moving paragraphs or columns.",Core,Word Processors and Typists,"Use word processor, computer, or typewriter to type letters, reports, forms, or other material from rough draft, corrected copy, or voice recording. May perform other clerical duties as assigned.",exact,100.0,2,2.0,49.61,3.66,84.53,4.A.3.b.1.I06.D12,"Format digital documents, data, or images.",4.A.3.b.1.I06,0.3696319018404908,0.4154351395730707,0.3603133159268929,0.3857938718662954
"compile reports, charts, or graphs that describe and interpret findings of analyses.",2531.0,43-9111.00,9791.0,"Compile reports, charts, or graphs that describe and interpret findings of analyses.",Core,Statistical Assistants,Compile and compute data according to statistical formulas for use in statistical studies. May perform actuarial computations and compile charts and graphs for use by actuaries. Includes actuarial clerks.,exact,100.0,4,6.0,59.21,4.36,96.0,4.A.2.a.2.I03.D03,Compile data or documentation.,4.A.2.a.2.I03,0.6226993865030676,0.5024630541871922,0.13577023498694518,0.41782729805013946
analyze and report computer network security breaches or attempted breaches.,2341.0,15-1231.00,19003.0,Analyze and report computer network security breaches or attempted breaches.,Core,Computer Network Support Specialists,"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption.",exact,100.0,4,6.0,46.93,4.26,82.28,4.A.2.a.4.I12.D02,"Analyze security of systems, network, or data.",4.A.2.a.4.I12,0.6180981595092024,0.4532019704433498,0.3446475195822454,0.5062674094707522
develop or maintain internal or external company web sites.,2296.0,43-6014.00,20288.0,Develop or maintain internal or external company Web sites.,Supplemental,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","Perform routine administrative functions such as drafting correspondence, scheduling appointments, organizing and maintaining paper and electronic files, or providing information to callers.",exact,100.0,2,2.0,49.9,3.1,33.58,4.A.2.b.2.I02.D04,Develop computer or online applications.,4.A.2.b.2.I02,0.4003067484662577,0.33169129720853857,0.27676240208877284,0.3196378830083567
confer with clients regarding the nature of the information processing or computation needs a computer program is to address.,2269.0,15-1211.00,3467.0,Confer with clients regarding the nature of the information processing or computation needs a computer program is to address.,Core,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",exact,100.0,3,5.0,50.71,3.08,75.03,4.A.4.a.2.I09.D07,Collaborate with others to determine design specifications or details.,4.A.4.a.2.I09,0.7055214723926381,0.43842364532019695,0.5874673629242819,0.6692200557103064
"answer customers' questions, and provide information on procedures or policies.",2241.0,41-2011.00,2408.0,"Answer customers' questions, and provide information on procedures or policies.",Core,Cashiers,"Receive and disburse money in establishments other than financial institutions. May use electronic scanners, cash registers, or related equipment. May process credit or debit card transactions and validate checks.",exact,100.0,2,2.0,44.32,4.39,99.02,4.A.4.a.1.I01.D05; 4.A.4.a.8.I03.D03,Answer customer questions about goods or services.; Explain technical product or service information to customers.,4.A.4.a.1.I01; 4.A.4.a.8.I03,0.21625766871165641,0.26108374384236455,0.3785900783289818,0.26044568245125355
"conduct searches to find needed information, using such sources as the internet.",2207.0,43-6014.00,2805.0,"Conduct searches to find needed information, using such sources as the Internet.",Core,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","Perform routine administrative functions such as drafting correspondence, scheduling appointments, organizing and maintaining paper and electronic files, or providing information to callers.",exact,100.0,2,2.0,49.9,3.68,94.04,4.A.1.a.1.I04.D07,"Search files, databases or reference materials to obtain needed information.",4.A.1.a.1.I04,0.4003067484662577,0.33169129720853857,0.27676240208877284,0.3196378830083567
"confer with customers by telephone or in person to provide information about products or services, take or enter orders, cancel accounts, or obtain details of complaints.",2161.0,43-4051.00,18565.0,"Confer with customers by telephone or in person to provide information about products or services, take or enter orders, cancel accounts, or obtain details of complaints.",Core,Customer Service Representatives,"Interact with customers to provide basic or scripted information in response to routine inquiries about products and services. May handle and resolve general complaints. Excludes individuals whose duties are primarily installation, sales, repair, and technical support.",exact,100.0,2,2.0,54.76,4.67,94.3,4.A.4.a.1.I01.D03,Discuss goods or services information with customers or patrons.,4.A.4.a.1.I01,0.49693251533742333,0.497536945812808,0.32375979112271536,0.4589136490250698
